"∞¸√¯º“","∞¸√¯¿œΩ√","«•√˛ºˆø¬(°…)","«•√˛ ø∞∫–(psu)","«•√˛ DO(mg/L)","«•√˛ºˆΩ…(m)","¡ﬂ√Êºˆø¬(°…)","¡ﬂ√Êø∞∫–(psu)","¡ﬂ√ÊDO(mg/L)","¡ﬂ√˛ºˆΩ…(m)","¿˙√˛ºˆø¬(°…)","¿˙√˛ ø∞∫–(psu)","¿˙√˛ DO(mg/L)","¿˙√˛ºˆΩ…(m)"
∞≠∏™(bgna3),"2015-04-01 00:00",7.9,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-01 00:30",8.1,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-01 01:00",8.6,,,5,7.4,,,20,6.7,,,30
∞≠∏™(bgna3),"2015-04-01 01:30",8.6,,,5,7.8,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-01 02:00",8.5,,,5,7.7,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-01 02:30",8.7,,,5,7.8,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-01 03:00",8.5,,,5,7.9,,,20,7.2,,,30
∞≠∏™(bgna3),"2015-04-01 03:30",8.4,,,5,8.3,,,20,7.6,,,30
∞≠∏™(bgna3),"2015-04-01 04:00",8.2,,,5,8.2,,,20,7.8,,,30
∞≠∏™(bgna3),"2015-04-01 04:30",8.1,,,5,8.2,,,20,7.9,,,30
∞≠∏™(bgna3),"2015-04-01 05:00",8.3,,,5,8.5,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 05:30",8.3,,,5,8.4,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 06:00",8.1,,,5,8.3,,,20,8.1,,,30
∞≠∏™(bgna3),"2015-04-01 06:30",8.4,,,5,8.6,,,20,8.4,,,30
∞≠∏™(bgna3),"2015-04-01 07:00",8.4,,,5,8.6,,,20,8.4,,,30
∞≠∏™(bgna3),"2015-04-01 07:30",8.3,,,5,8.5,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 08:00",8.2,,,5,8.4,,,20,8.2,,,30
∞≠∏™(bgna3),"2015-04-01 08:30",8.1,,,5,8.3,,,20,8.1,,,30
∞≠∏™(bgna3),"2015-04-01 09:00",7.9,,,5,8.2,,,20,8,,,30
∞≠∏™(bgna3),"2015-04-01 09:30",7.9,,,5,8.1,,,20,7.9,,,30
∞≠∏™(bgna3),"2015-04-01 10:00",8.3,,,5,8.4,,,20,8.1,,,30
∞≠∏™(bgna3),"2015-04-01 10:30",8.3,,,5,8.4,,,20,8.2,,,30
∞≠∏™(bgna3),"2015-04-01 11:00",8.3,,,5,8.4,,,20,8.2,,,30
∞≠∏™(bgna3),"2015-04-01 11:30",8.4,,,5,8.4,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 12:00",8.4,,,5,8.6,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 12:30",8.4,,,5,8.5,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 13:00",8.4,,,5,8.5,,,20,8.3,,,30
∞≠∏™(bgna3),"2015-04-01 13:30",8.5,,,5,8.5,,,20,8.2,,,30
∞≠∏™(bgna3),"2015-04-01 14:00",8.5,,,5,8.4,,,20,8.1,,,30
∞≠∏™(bgna3),"2015-04-01 14:30",8.5,,,5,8.4,,,20,8.1,,,30
∞≠∏™(bgna3),"2015-04-01 15:00",8.4,,,5,8.4,,,20,8,,,30
∞≠∏™(bgna3),"2015-04-01 15:30",8.4,,,5,8.3,,,20,8,,,30
∞≠∏™(bgna3),"2015-04-01 16:00",8.3,,,5,8.2,,,20,7.8,,,30
∞≠∏™(bgna3),"2015-04-01 16:30",8.3,,,5,8,,,20,7.6,,,30
∞≠∏™(bgna3),"2015-04-01 17:00",8.2,,,5,8.1,,,20,7.6,,,30
∞≠∏™(bgna3),"2015-04-01 17:30",8.1,,,5,8,,,20,7.6,,,30
∞≠∏™(bgna3),"2015-04-01 18:00",8.1,,,5,8,,,20,7.6,,,30
∞≠∏™(bgna3),"2015-04-01 18:30",8.1,,,5,8,,,20,7.5,,,30
∞≠∏™(bgna3),"2015-04-01 19:00",8.1,,,5,8,,,20,5.8,,,30
∞≠∏™(bgna3),"2015-04-01 19:30",8.1,,,5,8,,,20,5.5,,,30
∞≠∏™(bgna3),"2015-04-01 20:00",8.1,,,5,7.9,,,20,5.3,,,30
∞≠∏™(bgna3),"2015-04-01 20:30",8,,,5,7.9,,,20,5.2,,,30
∞≠∏™(bgna3),"2015-04-01 21:00",8,,,5,7.9,,,20,5.3,,,30
∞≠∏™(bgna3),"2015-04-01 21:30",7.9,,,5,7.9,,,20,5.7,,,30
∞≠∏™(bgna3),"2015-04-01 22:00",8,,,5,7.9,,,20,5.6,,,30
∞≠∏™(bgna3),"2015-04-01 22:30",7.9,,,5,7.9,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-01 23:00",7.9,,,5,7.5,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-01 23:30",7.9,,,5,7.5,,,20,6,,,30
∞≠∏™(bgna3),"2015-04-02 00:00",7.9,,,5,7.5,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-02 00:30",7.9,,,5,7,,,20,5.8,,,30
∞≠∏™(bgna3),"2015-04-02 01:00",7.9,,,5,7.3,,,20,6,,,30
∞≠∏™(bgna3),"2015-04-02 01:30",7.9,,,5,7.9,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-02 02:00",7.9,,,5,8.1,,,20,6.2,,,30
∞≠∏™(bgna3),"2015-04-02 02:30",7.9,,,5,8,,,20,6.3,,,30
∞≠∏™(bgna3),"2015-04-02 03:00",7.9,,,5,7.9,,,20,6.3,,,30
∞≠∏™(bgna3),"2015-04-02 03:30",7.9,,,5,7.9,,,20,6.2,,,30
∞≠∏™(bgna3),"2015-04-02 04:00",7.9,,,5,8,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-02 04:30",7.8,,,5,8,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-02 05:00",7.8,,,5,7.7,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-02 05:30",7.9,,,5,7.9,,,20,7.2,,,30
∞≠∏™(bgna3),"2015-04-02 06:00",7.8,,,5,7.9,,,20,7.3,,,30
∞≠∏™(bgna3),"2015-04-02 06:30",7.8,,,5,7.5,,,20,7.3,,,30
∞≠∏™(bgna3),"2015-04-02 07:00",7.8,,,5,7.6,,,20,7.3,,,30
∞≠∏™(bgna3),"2015-04-02 07:30",7.8,,,5,7.6,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 08:00",7.8,,,5,7.7,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 08:30",7.7,,,5,7.8,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 09:00",7.7,,,5,7.8,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 09:30",7.8,,,5,7.8,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 10:00",7.8,,,5,7.8,,,20,7.4,,,30
∞≠∏™(bgna3),"2015-04-02 10:30",7.9,,,5,7.6,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-02 11:00",8,,,5,7.8,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-02 11:30",8.1,,,5,7.7,,,20,6.7,,,30
∞≠∏™(bgna3),"2015-04-02 12:00",8.1,,,5,7.7,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-02 12:30",8.1,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-02 13:00",8.1,,,5,7.4,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-02 13:30",8,,,5,7.6,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-02 14:00",7.9,,,5,7.6,,,20,5.2,,,30
∞≠∏™(bgna3),"2015-04-02 14:30",8,,,5,7.6,,,20,5,,,30
∞≠∏™(bgna3),"2015-04-02 15:00",8,,,5,7.6,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-02 15:30",7.9,,,5,7.6,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-02 16:00",7.9,,,5,7.3,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-02 16:30",7.8,,,5,7.4,,,20,5.1,,,30
∞≠∏™(bgna3),"2015-04-02 17:00",7.6,,,5,7.6,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-02 17:30",7.5,,,5,7.6,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-02 18:00",7.2,,,5,7.3,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-02 18:30",7,,,5,7.1,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-02 19:00",7,,,5,6.9,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-02 19:30",6.8,,,5,6.6,,,20,5.1,,,30
∞≠∏™(bgna3),"2015-04-02 20:00",6.8,,,5,6.2,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-02 20:30",6.8,,,5,5.9,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-02 21:00",7,,,5,5.8,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-02 21:30",6.8,,,5,5.9,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-02 22:00",7,,,5,5.6,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-02 22:30",6.8,,,5,5.1,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-02 23:00",6.6,,,5,5.2,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-02 23:30",6.7,,,5,5.3,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 00:00",6.9,,,5,5.1,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 00:30",6.9,,,5,5,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 01:00",6.9,,,5,5.1,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 01:30",6.8,,,5,5.2,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 02:00",6.9,,,5,5.1,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 02:30",7.1,,,5,5.1,,,20,4.7,,,30
∞≠∏™(bgna3),"2015-04-03 03:00",7.3,,,5,5.5,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-03 03:30",7.1,,,5,5.8,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-03 04:00",7.2,,,5,6.4,,,20,4.8,,,30
∞≠∏™(bgna3),"2015-04-03 04:30",7.3,,,5,7.1,,,20,5.6,,,30
∞≠∏™(bgna3),"2015-04-03 05:00",7.3,,,5,7.4,,,20,6.7,,,30
∞≠∏™(bgna3),"2015-04-03 05:30",7.3,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-03 06:00",7.3,,,5,7.5,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 06:30",7.3,,,5,7.4,,,20,7.3,,,30
∞≠∏™(bgna3),"2015-04-03 07:00",7.3,,,5,7.4,,,20,7.3,,,30
∞≠∏™(bgna3),"2015-04-03 07:30",7.2,,,5,7.4,,,20,7.2,,,30
∞≠∏™(bgna3),"2015-04-03 08:00",7.2,,,5,7.4,,,20,7.2,,,30
∞≠∏™(bgna3),"2015-04-03 08:30",7.2,,,5,7.3,,,20,7.2,,,30
∞≠∏™(bgna3),"2015-04-03 09:00",7.2,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 09:30",7.3,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 10:00",7.3,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 10:30",7.4,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 11:00",7.5,,,5,7.3,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-03 11:30",7.5,,,5,7.4,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-03 12:00",7.7,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 12:30",7.9,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 13:00",8.1,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 13:30",8.1,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 14:00",8,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 14:30",7.9,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 15:00",8,,,5,7.3,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-03 15:30",7.9,,,5,7.3,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-03 16:00",7.8,,,5,7.1,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-03 16:30",7.8,,,5,7.2,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-03 17:00",7.9,,,5,7.2,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-03 17:30",7.8,,,5,7.2,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-03 18:00",7.8,,,5,7.3,,,20,5.7,,,30
∞≠∏™(bgna3),"2015-04-03 18:30",7.7,,,5,7.2,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-03 19:00",7.6,,,5,7.2,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-03 19:30",7.7,,,5,7.2,,,20,5.3,,,30
∞≠∏™(bgna3),"2015-04-03 20:00",7.7,,,5,7.1,,,20,5.1,,,30
∞≠∏™(bgna3),"2015-04-03 20:30",7.7,,,5,7.3,,,20,5.3,,,30
∞≠∏™(bgna3),"2015-04-03 21:00",7.6,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-03 21:30",7.6,,,5,7.3,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-03 22:00",7.4,,,5,7.3,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-03 22:30",7.4,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-03 23:00",7.4,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-03 23:30",7.4,,,5,7.3,,,20,6.7,,,30
∞≠∏™(bgna3),"2015-04-04 00:00",7.4,,,5,7.3,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 00:30",7.4,,,5,7.3,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 01:00",7.4,,,5,7.3,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-04 01:30",7.4,,,5,7.3,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-04 02:00",7.4,,,5,7.3,,,20,6.3,,,30
∞≠∏™(bgna3),"2015-04-04 02:30",7.5,,,5,7.4,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 03:00",7.6,,,5,7.4,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-04 03:30",7.6,,,5,7.3,,,20,6.2,,,30
∞≠∏™(bgna3),"2015-04-04 04:00",7.6,,,5,7.3,,,20,6.5,,,30
∞≠∏™(bgna3),"2015-04-04 04:30",7.8,,,5,7.3,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 05:00",7.8,,,5,7.3,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 05:30",7.7,,,5,7.4,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 06:00",7.8,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-04 06:30",7.8,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-04 07:00",7.8,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-04 07:30",7.6,,,5,7.4,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-04 08:00",7.7,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 08:30",7.6,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 09:00",7.6,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 09:30",7.7,,,5,7.4,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-04 10:00",7.8,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 10:30",7.8,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 11:00",7.7,,,5,7.4,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-04 11:30",7.7,,,5,7.4,,,20,7.1,,,30
∞≠∏™(bgna3),"2015-04-04 12:00",7.7,,,5,7.4,,,20,6.9,,,30
∞≠∏™(bgna3),"2015-04-04 12:30",7.8,,,5,7.4,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 13:00",7.9,,,5,7.4,,,20,6.6,,,30
∞≠∏™(bgna3),"2015-04-04 13:30",7.9,,,5,7.6,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-04 14:00",7.8,,,5,7.6,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-04 14:30",7.8,,,5,7.6,,,20,7,,,30
∞≠∏™(bgna3),"2015-04-04 15:00",7.9,,,5,7.4,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-04 15:30",7.9,,,5,7.3,,,20,6,,,30
∞≠∏™(bgna3),"2015-04-04 16:00",7.9,,,5,7.3,,,20,5.7,,,30
∞≠∏™(bgna3),"2015-04-04 16:30",7.9,,,5,7.3,,,20,5.6,,,30
∞≠∏™(bgna3),"2015-04-04 17:00",7.8,,,5,7.3,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-04 17:30",7.8,,,5,7.3,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-04 18:00",7.8,,,5,7.1,,,20,5.3,,,30
∞≠∏™(bgna3),"2015-04-04 18:30",7.8,,,5,6.9,,,20,5.2,,,30
∞≠∏™(bgna3),"2015-04-04 19:00",7.8,,,5,7.2,,,20,5.1,,,30
∞≠∏™(bgna3),"2015-04-04 19:30",7.8,,,5,7.5,,,20,5.4,,,30
∞≠∏™(bgna3),"2015-04-04 20:00",7.8,,,5,7.6,,,20,5.8,,,30
∞≠∏™(bgna3),"2015-04-04 20:30",7.7,,,5,7.6,,,20,6.3,,,30
∞≠∏™(bgna3),"2015-04-04 21:00",7.7,,,5,7.6,,,20,6.4,,,30
∞≠∏™(bgna3),"2015-04-04 21:30",7.7,,,5,7.6,,,20,6.7,,,30
∞≠∏™(bgna3),"2015-04-04 22:00",7.7,,,5,7.6,,,20,6.8,,,30
∞≠∏™(bgna3),"2015-04-04 22:30",7.7,,,5,7.5,,,20,6,,,30
∞≠∏™(bgna3),"2015-04-04 23:00",7.7,,,5,7.5,,,20,6,,,30
∞≠∏™(bgna3),"2015-04-04 23:30",7.7,,,5,7.4,,,20,5.7,,,30
∞≠∏™(bgna3),"2015-04-05 00:00",7.6,,,5,6.8,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-05 00:30",7.6,,,5,7.2,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-05 01:00",7.5,,,5,6.9,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-05 01:30",7.8,,,5,7.3,,,20,6.1,,,30
∞≠∏™(bgna3),"2015-04-05 02:00",7.6,,,5,6.8,,,20,5.9,,,30
∞≠∏™(bgna3),"2015-04-05 02:30",7.6,,,5,7.1,,,20,5.8,,,30
