"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2018-12-01 00:00",13.9,,,5,13.8,,,20,13.4,,,30
°­¸ª(bgna3),"2018-12-01 01:00",13.9,,,5,13.9,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-01 01:30",13.9,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 02:00",13.9,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 02:30",13.9,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 03:00",13.9,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 03:30",13.9,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 04:00",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 04:30",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 05:00",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 05:30",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 06:00",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 06:30",13.9,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 07:00",13.9,,,5,13.8,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-01 07:30",13.9,,,5,13.8,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-01 08:00",13.9,,,5,13.9,,,20,13.3,,,30
°­¸ª(bgna3),"2018-12-01 08:30",13.9,,,5,13.9,,,20,13.5,,,30
°­¸ª(bgna3),"2018-12-01 09:00",13.9,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-01 09:30",13.9,,,5,13.9,,,20,12.9,,,30
°­¸ª(bgna3),"2018-12-01 10:00",13.9,,,5,13.9,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-01 10:30",13.9,,,5,13.9,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-01 11:00",13.9,,,5,13.9,,,20,13.4,,,30
°­¸ª(bgna3),"2018-12-01 11:30",14,,,5,13.9,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-01 12:00",14,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 12:30",14,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 13:00",14,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 13:30",14.1,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 14:00",14.2,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 14:30",14.4,,,5,13.9,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 15:00",14.4,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 15:30",14.4,,,5,14.1,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 16:00",14.4,,,5,14,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 16:30",14.3,,,5,14,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 17:00",14.2,,,5,14,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 17:30",14.1,,,5,14.1,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-01 18:00",14.1,,,5,14.1,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-01 18:30",14.1,,,5,13.9,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-01 19:00",14.1,,,5,14,,,20,11.6,,,30
°­¸ª(bgna3),"2018-12-01 19:30",14.1,,,5,14,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-01 20:00",14.1,,,5,14,,,20,10.7,,,30
°­¸ª(bgna3),"2018-12-01 20:30",14.1,,,5,13.9,,,20,11.4,,,30
°­¸ª(bgna3),"2018-12-01 21:00",14.1,,,5,14,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-01 21:30",14.1,,,5,13.9,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-01 22:00",14,,,5,13.9,,,20,12.1,,,30
°­¸ª(bgna3),"2018-12-01 22:30",14,,,5,14,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-01 23:00",14,,,5,13.9,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-01 23:30",13.9,,,5,13.9,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-02 00:00",13.9,,,5,13.9,,,20,13,,,30
°­¸ª(bgna3),"2018-12-02 01:00",14,,,5,13.9,,,20,13.4,,,30
°­¸ª(bgna3),"2018-12-02 01:30",13.9,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 02:00",13.9,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 02:30",13.9,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 03:00",13.9,,,5,13.9,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 03:30",14.1,,,5,14.1,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 04:00",14.1,,,5,14.1,,,20,13.9,,,30
°­¸ª(bgna3),"2018-12-02 04:30",14.1,,,5,14.1,,,20,13.8,,,30
°­¸ª(bgna3),"2018-12-02 05:00",14.1,,,5,14,,,20,13.4,,,30
°­¸ª(bgna3),"2018-12-02 05:30",14.1,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-02 06:00",13.9,,,5,13.8,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-02 06:30",13.9,,,5,13.9,,,20,12.1,,,30
°­¸ª(bgna3),"2018-12-02 07:00",13.9,,,5,13.9,,,20,10.8,,,30
°­¸ª(bgna3),"2018-12-02 07:30",13.9,,,5,13.9,,,20,9.1,,,30
°­¸ª(bgna3),"2018-12-02 08:00",13.9,,,5,13.9,,,20,8.9,,,30
°­¸ª(bgna3),"2018-12-02 08:30",13.9,,,5,13.8,,,20,10.3,,,30
°­¸ª(bgna3),"2018-12-02 09:00",13.8,,,5,13.9,,,20,12.1,,,30
°­¸ª(bgna3),"2018-12-02 09:30",13.8,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-02 10:00",13.8,,,5,13.6,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-02 10:30",13.8,,,5,13.6,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-02 11:00",13.7,,,5,13.5,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-02 11:30",13.7,,,5,13.3,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-02 12:00",13.7,,,5,13.7,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-02 12:30",13.9,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-02 13:00",13.7,,,5,13.8,,,20,12.7,,,30
°­¸ª(bgna3),"2018-12-02 13:30",13.9,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-02 14:00",13.9,,,5,13.7,,,20,13.2,,,30
°­¸ª(bgna3),"2018-12-02 14:30",13.9,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-02 15:00",14,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-02 15:30",14,,,5,13.9,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-02 16:00",14,,,5,13.8,,,20,11.4,,,30
°­¸ª(bgna3),"2018-12-02 16:30",13.9,,,5,13.8,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-02 17:00",13.9,,,5,13.9,,,20,13.4,,,30
°­¸ª(bgna3),"2018-12-02 17:30",13.9,,,5,13.9,,,20,13.5,,,30
°­¸ª(bgna3),"2018-12-02 18:00",13.9,,,5,13.9,,,20,13.5,,,30
°­¸ª(bgna3),"2018-12-02 18:30",13.9,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2018-12-02 19:00",13.9,,,5,13.6,,,20,13,,,30
°­¸ª(bgna3),"2018-12-02 19:30",13.9,,,5,13.8,,,20,12.7,,,30
°­¸ª(bgna3),"2018-12-02 20:00",13.9,,,5,13.8,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-02 20:30",13.9,,,5,13.8,,,20,13.3,,,30
°­¸ª(bgna3),"2018-12-02 21:00",13.8,,,5,13.8,,,20,12.6,,,30
°­¸ª(bgna3),"2018-12-02 21:30",13.8,,,5,13.7,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-02 22:00",13.8,,,5,13.7,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-02 22:30",13.8,,,5,13.7,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-02 23:00",13.8,,,5,13.8,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-02 23:30",13.8,,,5,12.9,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-03 00:00",13.8,,,5,13.5,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-03 01:00",13.7,,,5,13.6,,,20,11.9,,,30
°­¸ª(bgna3),"2018-12-03 01:30",13.7,,,5,13.6,,,20,10.9,,,30
°­¸ª(bgna3),"2018-12-03 02:00",13.7,,,5,13.5,,,20,10.8,,,30
°­¸ª(bgna3),"2018-12-03 02:30",13.6,,,5,13.5,,,20,12,,,30
°­¸ª(bgna3),"2018-12-03 03:00",13.6,,,5,13.2,,,20,12,,,30
°­¸ª(bgna3),"2018-12-03 03:30",13.6,,,5,12.8,,,20,11.2,,,30
°­¸ª(bgna3),"2018-12-03 04:00",13.6,,,5,13.2,,,20,11.3,,,30
°­¸ª(bgna3),"2018-12-03 04:30",13.7,,,5,13.4,,,20,12,,,30
°­¸ª(bgna3),"2018-12-03 05:00",13.7,,,5,13.5,,,20,11.9,,,30
°­¸ª(bgna3),"2018-12-03 05:30",13.7,,,5,13.5,,,20,11.6,,,30
°­¸ª(bgna3),"2018-12-03 06:00",13.7,,,5,13.6,,,20,11.6,,,30
°­¸ª(bgna3),"2018-12-03 06:30",13.8,,,5,13.7,,,20,11.7,,,30
°­¸ª(bgna3),"2018-12-03 07:00",13.8,,,5,13.6,,,20,11.6,,,30
°­¸ª(bgna3),"2018-12-03 07:30",13.7,,,5,13.7,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-03 08:00",13.7,,,5,13.8,,,20,13,,,30
°­¸ª(bgna3),"2018-12-03 08:30",13.7,,,5,13.7,,,20,12.9,,,30
°­¸ª(bgna3),"2018-12-03 09:00",13.7,,,5,13.7,,,20,13.1,,,30
°­¸ª(bgna3),"2018-12-03 09:30",13.8,,,5,13.7,,,20,12.9,,,30
°­¸ª(bgna3),"2018-12-03 10:00",13.9,,,5,13,,,20,12.7,,,30
°­¸ª(bgna3),"2018-12-03 10:30",14,,,5,13.4,,,20,12.1,,,30
°­¸ª(bgna3),"2018-12-03 11:00",14,,,5,13.6,,,20,11.6,,,30
°­¸ª(bgna3),"2018-12-03 11:30",14.1,,,5,13.6,,,20,11.4,,,30
°­¸ª(bgna3),"2018-12-03 12:00",14.1,,,5,13.8,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-03 12:30",14.1,,,5,13.9,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-03 13:00",14.1,,,5,13.9,,,20,13.2,,,30
°­¸ª(bgna3),"2018-12-03 13:30",14.1,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-03 14:00",14.1,,,5,13.6,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-03 14:30",14.2,,,5,13.3,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-03 15:00",14.2,,,5,13.5,,,20,12.6,,,30
°­¸ª(bgna3),"2018-12-03 15:30",14.2,,,5,13.8,,,20,12.8,,,30
°­¸ª(bgna3),"2018-12-03 16:00",14.2,,,5,13.8,,,20,12.4,,,30
°­¸ª(bgna3),"2018-12-03 16:30",14.2,,,5,13.8,,,20,11.7,,,30
°­¸ª(bgna3),"2018-12-03 17:00",14.2,,,5,13.9,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-03 17:30",14.2,,,5,13.9,,,20,12.7,,,30
°­¸ª(bgna3),"2018-12-03 18:00",14.2,,,5,13.6,,,20,12.5,,,30
°­¸ª(bgna3),"2018-12-03 18:30",14.2,,,5,13.5,,,20,12.3,,,30
°­¸ª(bgna3),"2018-12-03 19:00",14.2,,,5,13.8,,,20,12,,,30
°­¸ª(bgna3),"2018-12-03 19:30",14.2,,,5,13.8,,,20,11.4,,,30
°­¸ª(bgna3),"2018-12-03 20:00",14.2,,,5,13.9,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-03 20:30",14.2,,,5,13.9,,,20,12.1,,,30
°­¸ª(bgna3),"2018-12-03 21:00",14.2,,,5,13.8,,,20,11.8,,,30
°­¸ª(bgna3),"2018-12-03 21:30",14.2,,,5,13.3,,,20,10.9,,,30
°­¸ª(bgna3),"2018-12-03 22:00",14.2,,,5,13.1,,,20,9.8,,,30
°­¸ª(bgna3),"2018-12-03 22:30",14.2,,,5,13.4,,,20,10,,,30
°­¸ª(bgna3),"2018-12-03 23:00",14.2,,,5,13.7,,,20,11.4,,,30
°­¸ª(bgna3),"2018-12-03 23:30",14.2,,,5,13.6,,,20,11.8,,,30
°­¸ª(bgna3),"2018-12-04 00:00",14.2,,,5,13.8,,,20,12.2,,,30
°­¸ª(bgna3),"2018-12-04 01:00",14.1,,,5,13.8,,,20,12.3,,,30
