"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃþ¼ö¿Â(¡É)","ÃþÃþ ¿°ºÐ(psu)","ÃþÃþ DO(mg/L)","ÃþÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2023-11-01 00:00","18.2",,,,"11.8",,,,"6",,,
°­¸ª(bgna3),"2023-11-01 00:30","18.1",,,,"11.7",,,,"5.5",,,
°­¸ª(bgna3),"2023-11-01 01:00","18",,,,"12",,,,"4.6",,,
°­¸ª(bgna3),"2023-11-01 01:30","17.9",,,,"13.9",,,,"7.1",,,
°­¸ª(bgna3),"2023-11-01 02:00","17.9",,,,"13.5",,,,"9",,,
°­¸ª(bgna3),"2023-11-01 02:30","18.1",,,,"13.3",,,,"9",,,
°­¸ª(bgna3),"2023-11-01 03:00","17.7",,,,"13.7",,,,"8.7",,,
°­¸ª(bgna3),"2023-11-01 03:30","17.5",,,,"13.4",,,,"8.2",,,
°­¸ª(bgna3),"2023-11-01 04:00","17.3",,,,"11.6",,,,"7.1",,,
°­¸ª(bgna3),"2023-11-01 04:30","16.9",,,,"11",,,,"7.6",,,
°­¸ª(bgna3),"2023-11-01 05:00","17.1",,,,"13",,,,"7.6",,,
°­¸ª(bgna3),"2023-11-01 05:30","17.3",,,,"12.8",,,,"7.7",,,
°­¸ª(bgna3),"2023-11-01 06:00","17.4",,,,"12.4",,,,"7.3",,,
°­¸ª(bgna3),"2023-11-01 06:30","17.4",,,,"13.4",,,,"7.3",,,
°­¸ª(bgna3),"2023-11-01 07:00","17.7",,,,"13.4",,,,"5.7",,,
°­¸ª(bgna3),"2023-11-01 07:30","18.1",,,,"13.2",,,,"6.2",,,
°­¸ª(bgna3),"2023-11-01 08:00","18",,,,"13.4",,,,"6.5",,,
°­¸ª(bgna3),"2023-11-01 08:30","17.8",,,,"15.2",,,,"6.9",,,
°­¸ª(bgna3),"2023-11-01 09:00","17.8",,,,"15.5",,,,"8.4",,,
°­¸ª(bgna3),"2023-11-01 09:30","17.9",,,,"16.2",,,,"12.2",,,
°­¸ª(bgna3),"2023-11-01 10:00","18",,,,"16.4",,,,"14.1",,,
°­¸ª(bgna3),"2023-11-01 10:30","18.2",,,,"16.5",,,,"14.3",,,
°­¸ª(bgna3),"2023-11-01 11:00","18.3",,,,"15.3",,,,"13.4",,,
°­¸ª(bgna3),"2023-11-01 11:30","18.2",,,,"15.6",,,,"11.2",,,
°­¸ª(bgna3),"2023-11-01 12:00","18.1",,,,"14.8",,,,"11.4",,,
°­¸ª(bgna3),"2023-11-01 12:30","18",,,,"14.4",,,,"11.5",,,
°­¸ª(bgna3),"2023-11-01 13:00","18.1",,,,"15.4",,,,"11.4",,,
°­¸ª(bgna3),"2023-11-01 13:30","18.1",,,,"14.8",,,,"10.6",,,
°­¸ª(bgna3),"2023-11-01 14:00","18",,,,"14.7",,,,"10.7",,,
°­¸ª(bgna3),"2023-11-01 14:30","18.2",,,,"15.3",,,,"9.2",,,
°­¸ª(bgna3),"2023-11-01 15:00","18.1",,,,"14.3",,,,"10",,,
°­¸ª(bgna3),"2023-11-01 15:30","17.9",,,,"13.9",,,,"10.3",,,
°­¸ª(bgna3),"2023-11-01 16:00","17.9",,,,"13.9",,,,"9.1",,,
°­¸ª(bgna3),"2023-11-01 16:30","17.9",,,,"13.9",,,,"8.8",,,
°­¸ª(bgna3),"2023-11-01 17:00","18",,,,"13",,,,"7.8",,,
°­¸ª(bgna3),"2023-11-01 17:30","18",,,,"12.6",,,,"8",,,
°­¸ª(bgna3),"2023-11-01 18:00","18.1",,,,"12.3",,,,"7",,,
°­¸ª(bgna3),"2023-11-01 18:30","18.1",,,,"12",,,,"6.4",,,
°­¸ª(bgna3),"2023-11-01 19:00","18.2",,,,"10.9",,,,"6.2",,,
°­¸ª(bgna3),"2023-11-01 19:30","18.2",,,,"10.9",,,,"5.8",,,
°­¸ª(bgna3),"2023-11-01 20:00","18.3",,,,"11.3",,,,"5.5",,,
°­¸ª(bgna3),"2023-11-01 20:30","17.9",,,,"10.8",,,,"5.2",,,
°­¸ª(bgna3),"2023-11-01 21:00","18.1",,,,"11.4",,,,"5.5",,,
°­¸ª(bgna3),"2023-11-01 21:30","18",,,,"11.7",,,,"5.6",,,
°­¸ª(bgna3),"2023-11-01 22:00","18",,,,"11.6",,,,"6.2",,,
°­¸ª(bgna3),"2023-11-01 22:30","18.2",,,,"12.2",,,,"6.5",,,
