"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중층수온(℃)","층층 염분(psu)","층층 DO(mg/L)","층층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2025-03-01 00:00",8.0,,,5,6.1,,,20,5.5,,,30
강릉(bgna3),"2025-03-01 00:30",8.2,,,5,6.8,,,20,5.3,,,30
강릉(bgna3),"2025-03-01 01:00",8.3,,,5,7.2,,,20,6.1,,,30
강릉(bgna3),"2025-03-01 01:30",8.2,,,5,7.4,,,20,6.1,,,30
강릉(bgna3),"2025-03-01 02:00",8.2,,,5,7.5,,,20,5.8,,,30
강릉(bgna3),"2025-03-01 02:30",8.1,,,5,7.2,,,20,5.7,,,30
강릉(bgna3),"2025-03-01 03:00",8.1,,,5,8.0,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 03:30",8.2,,,5,8.1,,,20,7.0,,,30
강릉(bgna3),"2025-03-01 04:00",8.3,,,5,8.1,,,20,6.4,,,30
강릉(bgna3),"2025-03-01 04:30",8.4,,,5,8.2,,,20,6.7,,,30
강릉(bgna3),"2025-03-01 05:00",8.4,,,5,8.2,,,20,6.8,,,30
강릉(bgna3),"2025-03-01 05:30",8.4,,,5,8.0,,,20,6.8,,,30
강릉(bgna3),"2025-03-01 06:00",8.6,,,5,8.2,,,20,7.1,,,30
강릉(bgna3),"2025-03-01 06:30",9.4,,,5,8.5,,,20,7.5,,,30
강릉(bgna3),"2025-03-01 07:00",9.3,,,5,8.3,,,20,7.2,,,30
강릉(bgna3),"2025-03-01 07:30",9.1,,,5,8.1,,,20,6.6,,,30
강릉(bgna3),"2025-03-01 08:00",8.9,,,5,7.8,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 08:30",8.6,,,5,7.2,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 09:00",8.4,,,5,7.0,,,20,6.5,,,30
강릉(bgna3),"2025-03-01 09:30",8.1,,,5,6.8,,,20,6.1,,,30
강릉(bgna3),"2025-03-01 10:00",8.3,,,5,7.1,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 10:30",8.3,,,5,7.0,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 11:00",8.3,,,5,7.3,,,20,6.5,,,30
강릉(bgna3),"2025-03-01 11:30",8.4,,,5,7.0,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 12:00",8.5,,,5,7.0,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 12:30",8.7,,,5,7.4,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 13:00",8.9,,,5,7.3,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 13:30",8.9,,,5,7.7,,,20,6.4,,,30
강릉(bgna3),"2025-03-01 14:00",8.7,,,5,7.1,,,20,6.4,,,30
강릉(bgna3),"2025-03-01 14:30",8.7,,,5,7.6,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 15:00",8.8,,,5,7.7,,,20,6.5,,,30
강릉(bgna3),"2025-03-01 15:30",9.1,,,5,8.4,,,20,6.6,,,30
강릉(bgna3),"2025-03-01 16:00",9.0,,,5,7.7,,,20,6.6,,,30
강릉(bgna3),"2025-03-01 16:30",9.0,,,5,7.6,,,20,6.6,,,30
강릉(bgna3),"2025-03-01 17:00",9.0,,,5,7.5,,,20,6.6,,,30
강릉(bgna3),"2025-03-01 17:30",9.2,,,5,7.5,,,20,6.5,,,30
강릉(bgna3),"2025-03-01 18:00",9.0,,,5,7.1,,,20,6.4,,,30
강릉(bgna3),"2025-03-01 18:30",8.9,,,5,6.9,,,20,6.3,,,30
강릉(bgna3),"2025-03-01 19:00",8.9,,,5,6.9,,,20,6.1,,,30
강릉(bgna3),"2025-03-01 19:30",8.4,,,5,6.9,,,20,6.0,,,30
강릉(bgna3),"2025-03-01 20:00",8.5,,,5,6.8,,,20,5.6,,,30
강릉(bgna3),"2025-03-01 20:30",8.8,,,5,7.2,,,20,5.9,,,30
강릉(bgna3),"2025-03-01 21:00",8.8,,,5,7.3,,,20,6.1,,,30
강릉(bgna3),"2025-03-01 21:30",8.7,,,5,7.2,,,20,6.0,,,30
강릉(bgna3),"2025-03-01 22:00",8.7,,,5,8.0,,,20,6.7,,,30
강릉(bgna3),"2025-03-01 22:30",8.7,,,5,7.6,,,20,6.5,,,30
강릉(bgna3),"2025-03-01 23:00",8.6,,,5,6.6,,,20,6.2,,,30
강릉(bgna3),"2025-03-01 23:30",8.6,,,5,7.4,,,20,5.9,,,30
강릉(bgna3),"2025-03-02 00:00",8.6,,,5,7.6,,,20,6.0,,,30
강릉(bgna3),"2025-03-02 00:30",8.6,,,5,8.0,,,20,6.3,,,30
강릉(bgna3),"2025-03-02 01:00",8.6,,,5,7.1,,,20,6.0,,,30
강릉(bgna3),"2025-03-02 01:30",8.5,,,5,6.6,,,20,5.8,,,30
강릉(bgna3),"2025-03-02 02:00",8.6,,,5,7.3,,,20,5.6,,,30
강릉(bgna3),"2025-03-02 02:30",8.5,,,5,8.0,,,20,5.8,,,30
강릉(bgna3),"2025-03-02 03:00",8.5,,,5,6.7,,,20,5.4,,,30
강릉(bgna3),"2025-03-02 03:30",8.5,,,5,6.5,,,20,5.6,,,30
강릉(bgna3),"2025-03-02 04:00",8.5,,,5,7.0,,,20,5.8,,,30
강릉(bgna3),"2025-03-02 04:30",8.6,,,5,7.2,,,20,5.7,,,30
강릉(bgna3),"2025-03-02 05:00",8.5,,,5,7.5,,,20,5.8,,,30
강릉(bgna3),"2025-03-02 05:30",8.5,,,5,7.2,,,20,5.7,,,30
강릉(bgna3),"2025-03-02 06:00",8.6,,,5,7.8,,,20,6.1,,,30
강릉(bgna3),"2025-03-02 06:30",8.6,,,5,7.4,,,20,6.1,,,30
강릉(bgna3),"2025-03-02 07:00",8.6,,,5,7.2,,,20,6.1,,,30
강릉(bgna3),"2025-03-02 07:30",8.4,,,5,7.2,,,20,6.1,,,30
강릉(bgna3),"2025-03-02 08:00",8.5,,,5,8.0,,,20,6.3,,,30
강릉(bgna3),"2025-03-02 08:30",8.6,,,5,7.7,,,20,6.3,,,30
강릉(bgna3),"2025-03-02 09:00",9.0,,,5,7.7,,,20,6.3,,,30
강릉(bgna3),"2025-03-02 09:30",8.5,,,5,6.9,,,20,5.9,,,30
강릉(bgna3),"2025-03-02 10:00",8.5,,,5,7.5,,,20,6.6,,,30
강릉(bgna3),"2025-03-02 10:30",8.2,,,5,7.1,,,20,6.1,,,30
