Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),year,catch_amount,avg_surface_temp
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2011,0.0,17.1406931542811
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2011,0.0,17.1406931542811
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2011,0.0,17.1406931542811
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2011,2002.0,17.1406931542811
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2011,0.0,17.1406931542811
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2012,0.0,15.967291596110117
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2012,0.0,15.967291596110117
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2012,0.0,15.967291596110117
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2012,1946.0,15.967291596110117
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2012,0.0,15.967291596110117
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2013,0.0,15.70823005932762
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2013,0.0,15.70823005932762
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2013,0.0,15.70823005932762
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2013,2163.0,15.70823005932762
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2013,0.0,15.70823005932762
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2014,0.0,16.24198408406088
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2014,0.0,16.24198408406088
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2014,0.0,16.24198408406088
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2014,6305.0,16.24198408406088
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2014,0.0,16.24198408406088
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2015,0.0,15.327998317188412
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2015,0.0,15.327998317188412
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2015,0.0,15.327998317188412
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2015,10767.0,15.327998317188412
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2015,0.0,15.327998317188412
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2016,0.0,16.271624739402363
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2016,0.0,16.271624739402363
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2016,0.0,16.271624739402363
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2016,24340.0,16.271624739402363
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2016,0.0,16.271624739402363
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2017,0.0,17.075791214733293
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2017,0.0,17.075791214733293
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2017,0.0,17.075791214733293
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2017,12926.0,17.075791214733293
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2017,0.0,17.075791214733293
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2018,0.0,16.85972445710217
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2018,0.0,16.85972445710217
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2018,0.0,16.85972445710217
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2018,77845.0,16.85972445710217
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2018,0.0,16.85972445710217
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2019,0.0,17.084050638424518
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2019,0.0,17.084050638424518
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2019,0.0,17.084050638424518
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2019,25196.0,17.084050638424518
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2019,0.0,17.084050638424518
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2020,0.0,16.532708811028712
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2020,0.0,16.532708811028712
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2020,0.0,16.532708811028712
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2020,10205.51,16.532708811028712
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2020,0.0,16.532708811028712
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2021,0.0,16.536396270129572
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2021,0.0,16.536396270129572
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2021,0.0,16.536396270129572
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2021,30988.83,16.536396270129572
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2021,0.0,16.536396270129572
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2022,0.0,16.298502059403106
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2022,0.0,16.298502059403106
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2022,0.0,16.298502059403106
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2022,43607.9,16.298502059403106
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2022,0.0,16.298502059403106
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2023,0.0,16.978349929546848
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2023,0.0,16.978349929546848
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2023,0.0,16.978349929546848
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2023,44595.5,16.978349929546848
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2023,0.0,16.978349929546848
Republic of Korea,Bigeye tuna,"Pacific, Northwest",Tonnes - live weight,2024,0.0,17.359595331182696
Republic of Korea,Pacific bluefin tuna,"Pacific, Northwest",Tonnes - live weight,2024,0.0,17.359595331182696
Republic of Korea,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,2024,0.0,17.359595331182696
Republic of Korea,Tuna-like fishes NEI,"Pacific, Northwest",Tonnes - live weight,2024,13701.08,17.359595331182696
Republic of Korea,Yellowfin tuna,"Pacific, Northwest",Tonnes - live weight,2024,0.0,17.359595331182696
