year,month,행정구역별,생산량
2015,1,강원도,0.0
2015,1,경상북도,7.0
2015,1,경상남도,
2015,2,강원도,
2015,2,경상북도,0.0
2015,2,경상남도,
2015,3,강원도,
2015,3,경상북도,
2015,3,경상남도,
2015,4,강원도,
2015,4,경상북도,
2015,4,경상남도,
2015,5,강원도,
2015,5,경상북도,
2015,5,경상남도,
2015,6,강원도,0.0
2015,6,경상북도,0.0
2015,6,경상남도,
2015,7,강원도,
2015,7,경상북도,0.0
2015,7,경상남도,0.0
2015,8,강원도,
2015,8,경상북도,0.0
2015,8,경상남도,
2015,9,강원도,0.0
2015,9,경상북도,0.0
2015,9,경상남도,
2015,10,강원도,
2015,10,경상북도,
2015,10,경상남도,
2015,11,강원도,
2015,11,경상북도,0.0
2015,11,경상남도,
2015,12,강원도,
2015,12,경상북도,
2015,12,경상남도,0.0
2016,1,강원도,
2016,1,경상북도,1.0
2016,1,경상남도,0.0
2016,2,강원도,
2016,2,경상북도,0.0
2016,2,경상남도,42.0
2016,3,강원도,
2016,3,경상북도,
2016,3,경상남도,72.0
2016,4,강원도,
2016,4,경상북도,
2016,4,경상남도,
2016,5,강원도,
2016,5,경상북도,0.0
2016,5,경상남도,
2016,6,강원도,0.0
2016,6,경상북도,
2016,6,경상남도,
2016,7,강원도,0.0
2016,7,경상북도,0.0
2016,7,경상남도,0.0
2016,8,강원도,0.0
2016,8,경상북도,3.0
2016,8,경상남도,
2016,9,강원도,
2016,9,경상북도,0.0
2016,9,경상남도,
2016,10,강원도,
2016,10,경상북도,
2016,10,경상남도,
2016,11,강원도,
2016,11,경상북도,
2016,11,경상남도,
2016,12,강원도,
2016,12,경상북도,
2016,12,경상남도,
2017,1,강원도,
2017,1,경상북도,
2017,1,경상남도,
2017,2,강원도,
2017,2,경상북도,
2017,2,경상남도,
2017,3,강원도,
2017,3,경상북도,0.0
2017,3,경상남도,29.0
2017,4,강원도,
2017,4,경상북도,
2017,4,경상남도,
2017,5,강원도,
2017,5,경상북도,
2017,5,경상남도,
2017,6,강원도,
2017,6,경상북도,0.0
2017,6,경상남도,
2017,7,강원도,
2017,7,경상북도,0.0
2017,7,경상남도,
2017,8,강원도,
2017,8,경상북도,3.0
2017,8,경상남도,
2017,9,강원도,
2017,9,경상북도,
2017,9,경상남도,
2017,10,강원도,
2017,10,경상북도,
2017,10,경상남도,
2017,11,강원도,
2017,11,경상북도,
2017,11,경상남도,
2017,12,강원도,
2017,12,경상북도,
2017,12,경상남도,
2018,1,강원도,
2018,1,경상북도,0.0
2018,1,경상남도,
2018,2,강원도,
2018,2,경상북도,2.0
2018,2,경상남도,0.0
2018,3,강원도,
2018,3,경상북도,0.0
2018,3,경상남도,4.0
2018,4,강원도,
2018,4,경상북도,
2018,4,경상남도,4.0
2018,5,강원도,
2018,5,경상북도,
2018,5,경상남도,
2018,6,강원도,
2018,6,경상북도,
2018,6,경상남도,
2018,7,강원도,13.0
2018,7,경상북도,
2018,7,경상남도,
2018,8,강원도,4.0
2018,8,경상북도,
2018,8,경상남도,
2018,9,강원도,35.0
2018,9,경상북도,
2018,9,경상남도,
2018,10,강원도,13.0
2018,10,경상북도,
2018,10,경상남도,
2018,11,강원도,
2018,11,경상북도,
2018,11,경상남도,
2018,12,강원도,
2018,12,경상북도,
2018,12,경상남도,
2019,1,강원도,0.0
2019,1,경상북도,0.0
2019,1,경상남도,0.0
2019,2,강원도,0.0
2019,2,경상북도,2.0
2019,2,경상남도,
2019,3,강원도,
2019,3,경상북도,0.0
2019,3,경상남도,
2019,4,강원도,
2019,4,경상북도,0.0
2019,4,경상남도,
2019,5,강원도,
2019,5,경상북도,0.0
2019,5,경상남도,
2019,6,강원도,3.0
2019,6,경상북도,0.0
2019,6,경상남도,
2019,7,강원도,8.0
2019,7,경상북도,0.0
2019,7,경상남도,
2019,8,강원도,11.0
2019,8,경상북도,2.0
2019,8,경상남도,
2019,9,강원도,9.0
2019,9,경상북도,0.0
2019,9,경상남도,
2019,10,강원도,86.0
2019,10,경상북도,
2019,10,경상남도,
2019,11,강원도,7.0
2019,11,경상북도,0.0
2019,11,경상남도,
2019,12,강원도,0.0
2019,12,경상북도,0.0
2019,12,경상남도,
2020,1,강원도,0.0
2020,1,경상북도,
2020,1,경상남도,0.0
2020,2,강원도,0.0
2020,2,경상북도,
2020,2,경상남도,
2020,3,강원도,0.0
2020,3,경상북도,1.0
2020,3,경상남도,0.0
2020,4,강원도,0.0
2020,4,경상북도,
2020,4,경상남도,
2020,5,강원도,0.0
2020,5,경상북도,2.0
2020,5,경상남도,
2020,6,강원도,1.0
2020,6,경상북도,
2020,6,경상남도,
2020,7,강원도,7.0
2020,7,경상북도,0.0
2020,7,경상남도,
