query,title,year,citations,journal,doi
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,"Digestive enzymes present in crustacean feces as a tool for biochemical, physiological, and ecological studies",2003,63,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/s0022-0981(03)00355-1
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,495,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,Comparison of digestive proteinases in three penaeids,2011,29,Aquaculture,https://doi.org/10.1016/j.aquaculture.2011.03.035
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,Trypsin Synthesis and Storage as Zymogen in the Midgut Gland of the Shrimp Litopenaeus Vannamei,2004,40,Journal of Crustacean Biology,https://doi.org/10.1651/c-2423
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,"Digestive enzymes in the ontogenetic stages of the southern king crab, Lithodes santolla",2006,43,Marine Biology,https://doi.org/10.1007/s00227-005-0240-x
trypsin chymotrypsin digestive enzyme shrimp crustacean protein digestion,"Digestive Enzyme Activities in the Alimentary Tract of Redclaw Crayfish, Cherax Quadricarinatus (Decapoda: Parastacidae)",2001,50,Journal of Crustacean Biology,https://doi.org/10.1163/20021975-99990133
digestive protease activity growth performance shrimp dietary protein utilization,Effect of dietary components on the gut microbiota of aquatic animals. A never‐ending story?,2015,709,Aquaculture Nutrition,https://doi.org/10.1111/anu.12346
digestive protease activity growth performance shrimp dietary protein utilization,"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,495,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010
digestive protease activity growth performance shrimp dietary protein utilization,"Effects of crystalline amino acids, phytase and fish soluble supplements in improving nutritive values of high plant protein based diets for kuruma shrimp, Marsupenaeus japonicus",2015,52,Aquaculture,https://doi.org/10.1016/j.aquaculture.2015.01.007
digestive protease activity growth performance shrimp dietary protein utilization,Probiotics and competitive exclusion of pathogens in shrimp aquaculture,2020,184,Reviews in Aquaculture,https://doi.org/10.1111/raq.12477
digestive protease activity growth performance shrimp dietary protein utilization,"Dietary protease, carbohydrase and micro-encapsulated organic acid salts individually or in combination improved growth, feed utilization and intestinal histology of Pacific white shrimp",2018,54,Aquaculture,https://doi.org/10.1016/j.aquaculture.2018.12.064
trypsin activity crustacean digestive gland protein hydrolysis,"Digestive enzymes present in crustacean feces as a tool for biochemical, physiological, and ecological studies",2003,63,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/s0022-0981(03)00355-1
trypsin activity crustacean digestive gland protein hydrolysis,"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,495,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010
trypsin activity crustacean digestive gland protein hydrolysis,RELATIONSHIP BETWEEN DIETARY PREFERENCES AND DIGESTIVE ENZYME COMPLEMENT OF THE SLIPPER LOBSTER THENUS ORIENTALIS (DECAPODA: SCYLLARIDAE),1998,47,Journal of Crustacean Biology,https://doi.org/10.1163/193724098x00511
trypsin activity crustacean digestive gland protein hydrolysis,"The effects of fish hydrolysate (CPSP) level on Octopus maya (Voss and Solis) diet: Digestive enzyme activity, blood metabolites, and energy balance",2007,115,Aquaculture,https://doi.org/10.1016/j.aquaculture.2007.07.010
trypsin activity crustacean digestive gland protein hydrolysis,Ontogeny of the gastrointestinal tract of marine fish larvae,2001,512,Comparative Biochemistry and Physiology Part C Toxicology & Pharmacology,https://doi.org/10.1016/s1532-0456(01)00274-5
trypsin activity crustacean digestive gland protein hydrolysis,Trypsin Synthesis and Storage as Zymogen in the Midgut Gland of the Shrimp Litopenaeus Vannamei,2004,40,Journal of Crustacean Biology,https://doi.org/10.1651/c-2423
trypsin activity crustacean digestive gland protein hydrolysis,"Digestive Enzyme Activities in the Alimentary Tract of Redclaw Crayfish, Cherax Quadricarinatus (Decapoda: Parastacidae)",2001,50,Journal of Crustacean Biology,https://doi.org/10.1163/20021975-99990133
