title,year,journal,doi,relevance_score,matched_terms,abstract_snippet
RELATIONSHIP BETWEEN DIETARY PREFERENCES AND DIGESTIVE ENZYME COMPLEMENT OF THE SLIPPER LOBSTER THENUS ORIENTALIS (DECAPODA: SCYLLARIDAE),1998,Journal of Crustacean Biology,https://doi.org/10.1163/193724098x00511,8,"trypsin, chymotrypsin, digestive enzyme, protease, crustacean",Digestive capabilities of the commercially important slipper lobster Thenus orientalis were determined by comparing the range and concentration of digestive enzymes produced with the preferred diet of...
"Digestive Enzyme Activities in the Alimentary Tract of Redclaw Crayfish, Cherax Quadricarinatus (Decapoda: Parastacidae)",2001,Journal of Crustacean Biology,https://doi.org/10.1163/20021975-99990133,7,"trypsin, chymotrypsin, digestive enzyme, protease","The redclaw crayfish, Cherax quadricarinatus, is of commercially important interest, but its digestive capabilities are not yet completely understood. The understanding of how its digestive enzymes op..."
"Digestive Enzyme Activities in the Alimentary Tract of Redclaw Crayfish, Cherax Quadricarinatus (Decapoda: Parastacidae)",2001,Journal of Crustacean Biology,https://doi.org/10.1163/20021975-99990133,7,"trypsin, chymotrypsin, digestive enzyme, protease","The redclaw crayfish, Cherax quadricarinatus, is of commercially important interest, but its digestive capabilities are not yet completely understood. The understanding of how its digestive enzymes op..."
Trypsin Synthesis and Storage as Zymogen in the Midgut Gland of the Shrimp Litopenaeus Vannamei,2004,Journal of Crustacean Biology,https://doi.org/10.1651/c-2423,3,"trypsin, shrimp",An immunological approach was used to elucidate whether trypsin is synthesized and stored as trypsinogen in the midgut gland of the shrimp Litopenaeus vannamei. Two peptides were constructed using seq...
Trypsin Synthesis and Storage as Zymogen in the Midgut Gland of the Shrimp Litopenaeus Vannamei,2004,Journal of Crustacean Biology,https://doi.org/10.1651/c-2423,3,"trypsin, shrimp",An immunological approach was used to elucidate whether trypsin is synthesized and stored as trypsinogen in the midgut gland of the shrimp Litopenaeus vannamei. Two peptides were constructed using seq...
Probiotics and competitive exclusion of pathogens in shrimp aquaculture,2020,Reviews in Aquaculture,https://doi.org/10.1111/raq.12477,2,"growth, shrimp","Abstract Probiotics, live microorganisms that, when administered in adequate amounts, confer a health benefit on the host, offer an alternative to antibiotics and have become popular among shrimp farm..."
"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010,0,,"Abstract Food uptake follows rules defined by feeding behaviour that determines the kind and quantity of food ingested by fish larvae as well as how live prey and food particles are detected, captured..."
"Digestive enzymes present in crustacean feces as a tool for biochemical, physiological, and ecological studies",2003,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/s0022-0981(03)00355-1,0,,(초록 없음)
"Digestive enzymes in the ontogenetic stages of the southern king crab, Lithodes santolla",2006,Marine Biology,https://doi.org/10.1007/s00227-005-0240-x,0,,(초록 없음)
Comparison of digestive proteinases in three penaeids,2011,Aquaculture,https://doi.org/10.1016/j.aquaculture.2011.03.035,0,,(초록 없음)
"Effects of crystalline amino acids, phytase and fish soluble supplements in improving nutritive values of high plant protein based diets for kuruma shrimp, Marsupenaeus japonicus",2015,Aquaculture,https://doi.org/10.1016/j.aquaculture.2015.01.007,0,,(초록 없음)
"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010,0,,"Abstract Food uptake follows rules defined by feeding behaviour that determines the kind and quantity of food ingested by fish larvae as well as how live prey and food particles are detected, captured..."
Effect of dietary components on the gut microbiota of aquatic animals. A never‐ending story?,2015,Aquaculture Nutrition,https://doi.org/10.1111/anu.12346,0,,"Numerous studies have reviewed the structure and function of the fish gut in relation to the diet As the gut microbiota has not been included in these papers, a more specific discussion is needed. The..."
"Dietary protease, carbohydrase and micro-encapsulated organic acid salts individually or in combination improved growth, feed utilization and intestinal histology of Pacific white shrimp",2018,Aquaculture,https://doi.org/10.1016/j.aquaculture.2018.12.064,0,,(초록 없음)
"Feeding behaviour and digestive physiology in larval fish: current knowledge, and gaps and bottlenecks in research",2013,Reviews in Aquaculture,https://doi.org/10.1111/raq.12010,0,,"Abstract Food uptake follows rules defined by feeding behaviour that determines the kind and quantity of food ingested by fish larvae as well as how live prey and food particles are detected, captured..."
"Digestive enzymes present in crustacean feces as a tool for biochemical, physiological, and ecological studies",2003,Journal of Experimental Marine Biology and Ecology,https://doi.org/10.1016/s0022-0981(03)00355-1,0,,(초록 없음)
Ontogeny of the gastrointestinal tract of marine fish larvae,2001,Comparative Biochemistry and Physiology Part C Toxicology & Pharmacology,https://doi.org/10.1016/s1532-0456(01)00274-5,0,,(초록 없음)
"The effects of fish hydrolysate (CPSP) level on Octopus maya (Voss and Solis) diet: Digestive enzyme activity, blood metabolites, and energy balance",2007,Aquaculture,https://doi.org/10.1016/j.aquaculture.2007.07.010,0,,(초록 없음)
