query,title,year,citations,journal,doi
Litopenaeus vannamei juvenile dietary protein requirement,The Future of Aquatic Protein: Implications for Protein Sources in Aquaculture Diets,2019,832,One Earth,https://doi.org/10.1016/j.oneear.2019.10.018
Litopenaeus vannamei juvenile dietary protein requirement,Achieving sustainable aquaculture: Historical and current perspectives and future needs and challenges,2020,763,Journal of the World Aquaculture Society,https://doi.org/10.1111/jwas.12714
Litopenaeus vannamei juvenile dietary protein requirement,"Omega-3 Long-Chain Polyunsaturated Fatty Acids, EPA and DHA: Bridging the Gap between Supply and Demand",2019,582,Nutrients,https://doi.org/10.3390/nu11010089
Litopenaeus vannamei juvenile dietary protein requirement,Disease will limit future food supply from the global crustacean fishery and aquaculture sectors,2012,508,Journal of Invertebrate Pathology,https://doi.org/10.1016/j.jip.2012.03.013
Litopenaeus vannamei juvenile dietary protein requirement,Towards the elements of successful insect RNAi,2013,488,Journal of Insect Physiology,https://doi.org/10.1016/j.jinsphys.2013.08.014
Fenneropenaeus chinensis protein requirement juvenile shrimp,Infectious Diseases Affect Marine Fisheries and Aquaculture Economics,2014,746,Annual Review of Marine Science,https://doi.org/10.1146/annurev-marine-010814-015646
Fenneropenaeus chinensis protein requirement juvenile shrimp,"Polyploid fish and shellfish: Production, biology and applications to aquaculture for performance improvement and genetic containment",2009,714,Aquaculture,https://doi.org/10.1016/j.aquaculture.2009.04.036
Fenneropenaeus chinensis protein requirement juvenile shrimp,Evaluating antimicrobial resistance in the global shrimp industry,2019,268,Reviews in Aquaculture,https://doi.org/10.1111/raq.12367
Fenneropenaeus chinensis protein requirement juvenile shrimp,Molecular Mechanisms of White Spot Syndrome Virus Infection and Perspectives on Treatments,2016,239,Viruses,https://doi.org/10.3390/v8010023
Fenneropenaeus chinensis protein requirement juvenile shrimp,"Intensification of Penaeid Shrimp Culture: An Applied Review of Advances in Production Systems, Nutrition and Breeding",2022,233,Animals,https://doi.org/10.3390/ani12030236
Marsupenaeus japonicus kuruma shrimp protein requirement,Antioxidants of Edible Mushrooms,2015,409,Molecules,https://doi.org/10.3390/molecules201019489
Marsupenaeus japonicus kuruma shrimp protein requirement,White spot syndrome virus: an overview on an emergent concern,2010,352,Veterinary Research,https://doi.org/10.1051/vetres/2010015
Marsupenaeus japonicus kuruma shrimp protein requirement,Overview and Challenges of Large-Scale Cultivation of Photosynthetic Microalgae and Cyanobacteria,2023,325,Marine Drugs,https://doi.org/10.3390/md21080445
Marsupenaeus japonicus kuruma shrimp protein requirement,"Toll-Like Receptors, Associated Biological Roles, and Signaling Networks in Non-Mammals",2018,320,Frontiers in Immunology,https://doi.org/10.3389/fimmu.2018.01523
Marsupenaeus japonicus kuruma shrimp protein requirement,Applications of genotyping by sequencing in aquaculture breeding and genetics,2017,278,Reviews in Aquaculture,https://doi.org/10.1111/raq.12193
Penaeus monodon juvenile protein requirement,Global and regional effects of potentially modifiable risk factors associated with acute stroke in 32 countries (INTERSTROKE): a case-control study,2016,2229,The Lancet,https://doi.org/10.1016/s0140-6736(16)30506-2
Penaeus monodon juvenile protein requirement,Fish oil replacement in finfish nutrition,2009,1235,Reviews in Aquaculture,https://doi.org/10.1111/j.1753-5131.2008.01001.x
Penaeus monodon juvenile protein requirement,"Algal Proteins: Extraction, Application, and Challenges Concerning Production",2017,1053,Foods,https://doi.org/10.3390/foods6050033
Penaeus monodon juvenile protein requirement,The Future of Aquatic Protein: Implications for Protein Sources in Aquaculture Diets,2019,832,One Earth,https://doi.org/10.1016/j.oneear.2019.10.018
Penaeus monodon juvenile protein requirement,Achieving sustainable aquaculture: Historical and current perspectives and future needs and challenges,2020,763,Journal of the World Aquaculture Society,https://doi.org/10.1111/jwas.12714
Homarus americanus lobster juvenile protein requirement diet,Bioluminescence in the Sea,2009,838,Annual Review of Marine Science,https://doi.org/10.1146/annurev-marine-120308-081028
Homarus americanus lobster juvenile protein requirement diet,Biological Impacts of Marine Heatwaves,2022,593,Annual Review of Marine Science,https://doi.org/10.1146/annurev-marine-032122-121437
Homarus americanus lobster juvenile protein requirement diet,Disease will limit future food supply from the global crustacean fishery and aquaculture sectors,2012,508,Journal of Invertebrate Pathology,https://doi.org/10.1016/j.jip.2012.03.013
Homarus americanus lobster juvenile protein requirement diet,"Multiple functions of the crustacean gill: osmotic/ionic regulation, acid-base balance, ammonia excretion, and bioaccumulation of toxic metals",2012,497,Frontiers in Physiology,https://doi.org/10.3389/fphys.2012.00431
Homarus americanus lobster juvenile protein requirement diet,A Review of the Applications of Chitin and Its Derivatives in Agriculture to Modify Plant-Microbial Interactions and Improve Crop Yields,2013,393,Agronomy,https://doi.org/10.3390/agronomy3040757
Panulirus spiny lobster juvenile protein requirement diet,Bioluminescence in the Sea,2009,838,Annual Review of Marine Science,https://doi.org/10.1146/annurev-marine-120308-081028
Panulirus spiny lobster juvenile protein requirement diet,On the advantages and disadvantages of larval stages in benthic marine invertebrate life cycles,1999,686,Marine Ecology Progress Series,https://doi.org/10.3354/meps177269
Panulirus spiny lobster juvenile protein requirement diet,Disease will limit future food supply from the global crustacean fishery and aquaculture sectors,2012,508,Journal of Invertebrate Pathology,https://doi.org/10.1016/j.jip.2012.03.013
Panulirus spiny lobster juvenile protein requirement diet,Review on the dietary effects of phospholipids in fish and crustacean larviculture,1997,360,Aquaculture,https://doi.org/10.1016/s0044-8486(97)00125-7
Panulirus spiny lobster juvenile protein requirement diet,Evolution of insect olfactory receptors,2014,331,eLife,https://doi.org/10.7554/elife.02115
