date_raw,donghae_mean,donghae_anomaly,year,month,tuna_catch
2015년 01월,7.03,-0.52,2015,1,7.0
2015년 02월,6.5,0.1,2015,2,0.0
2015년 03월,6.24,-0.25,2015,3,
2015년 04월,7.62,-0.33,2015,4,
2015년 05월,11.21,0.21,2015,5,
2015년 06월,15.12,-0.28,2015,6,0.0
2015년 07월,18.45,-1.08,2015,7,0.0
2015년 08월,22.23,-0.29,2015,8,0.0
2015년 09월,20.57,-0.6,2015,9,0.0
2015년 10월,16.22,-1.22,2015,10,
2015년 11월,13.02,-0.18,2015,11,0.0
2015년 12월,9.93,0.13,2015,12,0.0
2016년 01월,7.7,0.16,2016,1,1.0
2016년 02월,6.52,0.12,2016,2,42.0
2016년 03월,6.71,0.22,2016,3,72.0
2016년 04월,8.25,0.31,2016,4,
2016년 05월,11.44,0.44,2016,5,0.0
2016년 06월,15.84,0.44,2016,6,0.0
2016년 07월,19.45,-0.08,2016,7,0.0
2016년 08월,23.61,1.09,2016,8,3.0
2016년 09월,21.27,0.1,2016,9,0.0
2016년 10월,17.59,0.14,2016,10,
2016년 11월,12.69,-0.51,2016,11,
2016년 12월,9.94,0.15,2016,12,
2017년 01월,8.11,0.57,2017,1,
2017년 02월,6.9,0.5,2017,2,
2017년 03월,7.08,0.59,2017,3,29.0
2017년 04월,8.61,0.66,2017,4,
2017년 05월,11.81,0.81,2017,5,
2017년 06월,14.98,-0.42,2017,6,0.0
2017년 07월,20.54,1.0,2017,7,0.0
2017년 08월,23.42,0.89,2017,8,3.0
2017년 09월,21.39,0.22,2017,9,
2017년 10월,17.51,0.06,2017,10,
2017년 11월,13.45,0.25,2017,11,
2017년 12월,9.33,-0.46,2017,12,
2018년 01월,7.06,-0.49,2018,1,0.0
2018년 02월,5.89,-0.5,2018,2,2.0
2018년 03월,6.06,-0.43,2018,3,4.0
2018년 04월,7.95,0.01,2018,4,4.0
2018년 05월,10.82,-0.18,2018,5,
2018년 06월,15.31,-0.09,2018,6,
2018년 07월,19.66,0.13,2018,7,13.0
2018년 08월,22.93,0.4,2018,8,4.0
2018년 09월,21.07,-0.1,2018,9,35.0
2018년 10월,17.89,0.45,2018,10,13.0
2018년 11월,13.93,0.73,2018,11,
2018년 12월,10.14,0.34,2018,12,
2019년 01월,7.88,0.33,2019,1,0.0
