title,year,citations,concepts
Supporting systems thinking in environmental science education with large language model chatbots,2026,0,"['Chatbot', 'Perspective (graphical)', 'Systems thinking', 'Science education', 'Sociocultural evolution']"
Spatiotemporal distribution and behaviour of Atlantic bluefin tuna (Thunnus thynnus) in Norwegian waters from 2019 to 2024: Insights from citizen science,2026,0,"['Citizen science', 'Norwegian', 'Fishery', 'Distribution (mathematics)', 'Tuna']"
Towards Cost-Effective and Sustainable Media Formulations for Terrestrial and Aquatic Cellular Agriculture,2026,0,"['Sustainability', 'Business', 'Production (economics)', 'Process (computing)', 'Sustainable production']"
Preliminary assessment of sensory deterrents for reducing threatened elasmobranch bycatch in northern Australian gillnet fisheries,2026,0,"['Threatened species', 'Bycatch', 'Fishery', 'Fishing', 'Geography']"
Sustainable nutrition systems with alternative proteins for low-impact food future,2026,0,"['Sustainability', 'Business', 'Food processing', 'Population', 'Food systems']"
Breaking the cold-blooded rule: Opah’s secret to whole-body endothermy,2026,0,"['Biology', 'Endotherm', 'Ecology', 'Bioenergetics', 'Ectotherm']"
"Environmental drivers of skipjack tuna, Katsuwonus pelamis (Actinopterygii, Scombriformes, Scombridae), catch variability in tropical coastal waters: Insights from physical and biogeochemical oceanography",2026,0,"['Skipjack tuna', 'Biogeochemical cycle', 'Pelagic zone', 'Environmental science', 'Oceanography']"
Life history attributes influencing metabolic variation in an estuarine fish,2026,0,"['Biology', 'Allometry', 'Life history theory', 'Estuary', 'Phenotypic plasticity']"
A climate adaptation framework for marine resource monitoring programs,2026,0,"['Environmental resource management', 'Resource (disambiguation)', 'Environmental planning', 'Adaptation (eye)', 'Environmental science']"
Bottlenose dolphin reliance on trawlers in prey-depleted Adriatic Sea regions,2026,0,"['Bottlenose dolphin', 'Fishery', 'Otter', 'Trawling', 'Geography']"
Face-to-face Nature Conservation,2026,0,"['Skepticism', 'Wildlife', 'Environmental ethics', 'Public relations', 'Set (abstract data type)']"
"Acoustic Telemetry for Marine Animal and Environmental Monitoring: Technologies, Challenges, and Emerging Trends",2026,0,"['Environmental science', 'Telemetry', 'Remote sensing', 'Biotelemetry', 'Oceanography']"
Effects of global ocean warming and heatwaves on thermal safety margins of marine predator life stages,2026,0,"['Environmental science', 'Climate change', 'Global warming', 'Sea surface temperature', 'Marine life']"
"Impact of Anthropogenic Activities on Aquatic and Terrestrial Biodiversity of Dagona Waterfowl Sanctuary in Yobe State, Nigeria",2026,0,"['Biodiversity', 'Transect', 'Geography', 'Species diversity', 'Waterfowl']"
Listening to tuna: Acoustic characterization of captive juvenile yellowfin tuna ( <i>Thunnus albacares</i> ),2026,0,"['Yellowfin tuna', 'Biology', 'Diel vertical migration', 'Pelagic zone', 'Tuna']"
Microphytoplankton communities associated with deep thermoclines in the southwestern Gulf of Mexico during a “Nortes” storm season,2026,0,"['Thermocline', 'Oceanography', 'Hydrography', 'Environmental science', 'Storm']"
"Multimodel approach for growth analysis of purple snail Plicopurpura columellaris (Lamarck, 1816) in the rocky intertidal of Guerrero, Mexico",2026,0,"['Intertidal zone', 'Akaike information criterion', 'Ecology', 'Snail', 'Biology']"
"Worldwide Illegal Gold Mining Fuelling Environmental Mercury Contamination: Recent Developments, Challenges and Remedies",2026,0,"['Mercury (programming language)', 'Gold mining', 'Mercury pollution', 'Environmental science', 'Environmental protection']"
Invasive Control of Spartina alterniflora in Coastal Wetlands: Suitability Assessment of Mangrove Planting in Quanzhou Bay Based on Macrobenthic Communities and Environmental Responses,2026,0,"['Mangrove', 'Spartina alterniflora', 'Environmental science', 'Biomass (ecology)', 'Salinity']"
"International Legal Environment Protection in the Context of Achieving Sustainable Development : electronic educational and methodological complex for specialty 7-06-0421-01 В«JurisprudenceВ» (profiling В«Legal Regulation of Security and Sustainable Development of SocietyВ») / A. A. Zhloba ; BSU, Faculty of Law, Department of Environmental and Agrarian Law. вЂ“ Minsk, 2026. вЂ“ 55 p. Bibliography: p. 49вЂ“55.",2026,0,"['Sustainable development', 'Context (archaeology)', 'Curriculum', 'Engineering ethics', 'Political science']"
Nutritional detoxification strategies in aquaculture: bioactive feed additives mitigating oxidative stress and xenobiotic toxicity in fish,2026,0,"['Detoxification (alternative medicine)', 'Xenobiotic', 'Aquaculture', 'Biology', 'Biotechnology']"
Annual Changes in the Feeding Ecology of Blackfin Flounder (Glyptocephalus stelleri) in the East Sea of Korea,2026,0,"['Predation', 'Biology', 'Fishery', 'Flounder', 'Ecology']"
Navigating the salinity gradient: Individual variation in habitat use and migration of European eel revealed by otolith microchemistry,2026,0,"['Habitat', 'Fish migration', 'Otolith', 'Fishery', 'Population']"
"Early life stage fish community structure and environmental drivers in offshore waters of Liaoning Province, Yellow Sea",2026,0,"['Ichthyoplankton', 'Habitat', 'Community structure', 'Pelagic zone', 'Fishery']"
Beyond the “Big 5”: diversifying seafood preferences in South West England,2026,0,"['Sustainability', 'Herring', 'Business', 'Consumption (sociology)', 'Tuna']"
DOM consumption and demethylation of MeHg as potential drivers of low MeHg in Mediterranean Sea sponges and benthic fish: a modeling perspective,2026,0,"['Bioaccumulation', 'Methylmercury', 'Benthic zone', 'Environmental chemistry', 'Mercury (programming language)']"
A scoping review on the impacts of wind turbine noise on wildlife,2026,0,"['Wildlife', 'Wind power', 'Environmental science', 'Turbine', 'Noise (video)']"
Why technical readiness is not enough: Institutional barriers to full harvest strategy adoption in the International Pacific Halibut Commission,2026,0,"['Halibut', 'Business', 'Commission', 'Fishery', 'Work (physics)']"
Eating fish in the age of anthropogenic climate change: imaginaries and sociogenesis of representations of changes in fish quality,2026,0,"['Climate change', 'Thematic analysis', 'Fish <Actinopterygii>', 'Fish stock', 'Psychology']"
The national marine science plan: food security for Australia,2026,1,"['Sustainability', 'Business', 'Food security', 'Transparency (behavior)', 'Environmental planning']"
Establishing an interdisciplinary basis for ecological connectivity to inform spatial stock assessment modeling: an application to a red mullet metapopulation in the Mediterranean Sea,2026,0,"['Metapopulation', 'Biological dispersal', 'Stock (firearms)', 'Stock assessment', 'Geography']"
Evidence of within- and between-stock connectivity in Mediterranean fisheries challenges the stock unit paradigm,2026,0,"['Biological dispersal', 'Metapopulation', 'Stock assessment', 'Stock (firearms)', 'Marine protected area']"
Mercury contamination and human exposure through inland fishery and aquaculture products in Northeastern Brazil,2026,0,"['Aquaculture', 'Mercury (programming language)', 'Fishery', 'Environmental science', 'Tilapia']"
3D Diel Utilization Distribution: a novel perspective to understand marine turtle-fishery interaction,2026,0,"['Bycatch', 'Diel vertical migration', 'Fishing', 'Fishery', 'Environmental science']"
A Regional Assessment of Our Ocean Conference Commitment Implementation in Africa,2026,0,"['Strategic environmental assessment', 'Investment (military)', 'Action (physics)', 'Environmental planning', 'Corporate governance']"
Combining individual and close‐kin mark–recapture to design an effective wildlife population survey,2026,0,"['Sampling (signal processing)', 'Abundance (ecology)', 'Wildlife', 'Population', 'Sampling design']"
Infectious hematopoietic necrosis virus (IHNV) in fish and its consequences for fish farming: A comprehensive review,2026,0,"['Biology', 'Infectious hematopoietic necrosis virus', 'Virology', 'Aquaculture', 'Disease']"
Defragmenting Mangrove Law Towards Coherent Global Governance,2026,0,"['Mangrove', 'United Nations Convention on the Law of the Sea', 'Convention on Biological Diversity', 'Environmental resource management', 'Corporate governance']"
Tackling Climate-Driven Diseases in Mediterranean Aquaculture,2026,0,"['Biology', 'Biosecurity', 'Aquaculture', 'Fishery', 'Biodiversity']"
"Investigating morphometry, growth patterns, and interactive behaviour of dwarf minke whales in the Great Barrier Reef: insights from diver-operated stereo-video systems",2026,0,"['Biology', 'Ecology', 'Ectotherm', 'Fishery', 'Minke whale']"
Assemblage structure of ichthyoplankton communities in the southern tyrrhenian sea (western mediterranean sea),2026,0,"['Ichthyoplankton', 'Abundance (ecology)', 'Transect', 'Mediterranean sea', 'Mediterranean climate']"
"Diet of Antarctic toothfish ( <i>Dissostichus mawsoni</i> ) from the Ross Sea continental shelf, Antarctica",2026,0,"['Continental shelf', 'Biology', 'Mesopelagic zone', 'Predation', 'Oceanography']"
Measuring the research impact of Australian East Antarctic ice core publications: a contextual analysis,2026,0,"['Ice core', 'Relevance (law)', 'Categorization', 'Core (optical fiber)', 'Regional science']"
