year,month,고등어,멸치,전갱이류,정어리
2015,1,1417.0,21911.0,344.0,13.0
2015,2,419.0,11153.0,178.0,40.0
2015,3,983.0,16352.0,384.0,1.0
2015,4,327.0,2954.0,379.0,1.0
2015,5,101.0,3814.0,1357.0,1.0
2015,6,325.0,4416.0,2212.0,1.0
2015,7,436.0,13831.0,862.0,42.0
2015,8,1332.0,13872.0,1040.0,213.0
2015,9,759.0,12414.0,648.0,11.0
2015,10,379.0,18991.0,772.0,0.0
2015,11,1152.0,12586.0,595.0,1.0
2015,12,240.0,7093.0,221.0,2.0
2016,1,501.0,10803.0,636.0,821.0
2016,2,61.0,2603.0,130.0,1.0
2016,3,153.0,7004.0,95.0,6.0
2016,4,479.0,1953.0,187.0,2.0
2016,5,87.0,3995.0,178.0,5.0
2016,6,81.0,3545.0,376.0,223.0
2016,7,472.0,12932.0,1179.0,47.0
2016,8,1329.0,12340.0,1364.0,5.0
2016,9,1457.0,4489.0,1623.0,0.0
2016,10,1801.0,5795.0,1379.0,
2016,11,1528.0,2845.0,851.0,11.0
2016,12,524.0,4675.0,477.0,315.0
2017,1,565.0,13078.0,774.0,1690.0
2017,2,37.0,6104.0,324.0,1099.0
2017,3,104.0,12244.0,114.0,1659.0
2017,4,14.0,2953.0,120.0,234.0
2017,5,49.0,4935.0,518.0,133.0
2017,6,72.0,2941.0,608.0,100.0
2017,7,1303.0,17831.0,888.0,948.0
2017,8,1966.0,14157.0,1610.0,197.0
2017,9,2855.0,10432.0,1964.0,42.0
2017,10,874.0,3959.0,1176.0,6.0
2017,11,2728.0,3540.0,1139.0,13.0
2017,12,3485.0,12747.0,623.0,10.0
2018,1,665.0,13596.0,298.0,574.0
2018,2,582.0,4236.0,301.0,14.0
2018,3,1181.0,5115.0,103.0,8.0
2018,4,451.0,1941.0,209.0,16.0
2018,5,52.0,2716.0,266.0,2.0
2018,6,195.0,2466.0,1041.0,3.0
2018,7,2594.0,19649.0,1347.0,0.0
2018,8,5076.0,12580.0,1161.0,31.0
2018,9,8166.0,9603.0,1235.0,49.0
2018,10,1560.0,8347.0,1310.0,168.0
2018,11,1369.0,9877.0,1267.0,0.0
2018,12,1362.0,12524.0,504.0,249.0
2019,1,479.0,18518.0,378.0,342.0
2019,2,43.0,9231.0,222.0,67.0
2019,3,60.0,5550.0,203.0,243.0
2019,4,95.0,2790.0,279.0,221.0
2019,5,115.0,4851.0,933.0,31.0
