date_raw,donghae_mean,donghae_anomaly,year,month
2005년 01월,7.99,0.45,2005,1
2005년 02월,6.75,0.35,2005,2
2005년 03월,6.49,0.0,2005,3
2005년 04월,7.93,-0.01,2005,4
2005년 05월,10.63,-0.36,2005,5
2005년 06월,15.71,0.3,2005,6
2005년 07월,19.94,0.41,2005,7
2005년 08월,23.52,1.0,2005,8
2005년 09월,21.42,0.25,2005,9
2005년 10월,17.71,0.27,2005,10
2005년 11월,13.44,0.24,2005,11
2005년 12월,8.97,-0.83,2005,12
2006년 01월,6.86,-0.68,2006,1
2006년 02월,5.62,-0.77,2006,2
2006년 03월,6.1,-0.39,2006,3
2006년 04월,6.86,-1.08,2006,4
2006년 05월,10.26,-0.73,2006,5
2006년 06월,14.67,-0.73,2006,6
2006년 07월,18.98,-0.56,2006,7
2006년 08월,23.84,1.31,2006,8
2006년 09월,21.34,0.17,2006,9
2006년 10월,17.7,0.25,2006,10
2006년 11월,13.31,0.12,2006,11
2006년 12월,10.06,0.27,2006,12
2007년 01월,7.89,0.35,2007,1
2007년 02월,6.83,0.44,2007,2
2007년 03월,6.69,0.2,2007,3
2007년 04월,8.15,0.21,2007,4
2007년 05월,10.94,-0.05,2007,5
2007년 06월,15.49,0.08,2007,6
2007년 07월,18.88,-0.65,2007,7
2007년 08월,22.31,-0.21,2007,8
2007년 09월,21.58,0.41,2007,9
2007년 10월,17.72,0.28,2007,10
2007년 11월,12.87,-0.33,2007,11
2007년 12월,10.06,0.26,2007,12
2008년 01월,7.9,0.36,2008,1
2008년 02월,6.35,-0.04,2008,2
2008년 03월,6.62,0.13,2008,3
2008년 04월,8.78,0.84,2008,4
2008년 05월,11.5,0.51,2008,5
2008년 06월,15.38,-0.02,2008,6
2008년 07월,20.36,0.83,2008,7
2008년 08월,22.47,-0.05,2008,8
2008년 09월,21.53,0.36,2008,9
2008년 10월,17.73,0.28,2008,10
2008년 11월,13.15,-0.04,2008,11
2008년 12월,10.14,0.35,2008,12
2009년 01월,8.0,0.45,2009,1
2009년 02월,7.0,0.61,2009,2
2009년 03월,6.9,0.41,2009,3
2009년 04월,8.33,0.38,2009,4
2009년 05월,11.21,0.21,2009,5
2009년 06월,14.68,-0.72,2009,6
2009년 07월,18.33,-1.2,2009,7
2009년 08월,21.2,-1.32,2009,8
2009년 09월,20.43,-0.74,2009,9
2009년 10월,17.53,0.09,2009,10
2009년 11월,13.74,0.54,2009,11
2009년 12월,10.46,0.66,2009,12
2010년 01월,7.65,0.11,2010,1
2010년 02월,6.92,0.52,2010,2
2010년 03월,6.63,0.14,2010,3
2010년 04월,7.77,-0.18,2010,4
2010년 05월,10.91,-0.09,2010,5
2010년 06월,16.27,0.87,2010,6
2010년 07월,20.66,1.13,2010,7
2010년 08월,23.84,1.32,2010,8
2010년 09월,22.46,1.29,2010,9
2010년 10월,18.24,0.8,2010,10
2010년 11월,13.85,0.65,2010,11
2010년 12월,10.56,0.77,2010,12
2011년 01월,7.91,0.37,2011,1
2011년 02월,6.66,0.26,2011,2
2011년 03월,6.24,-0.25,2011,3
2011년 04월,7.48,-0.47,2011,4
2011년 05월,9.86,-1.14,2011,5
2011년 06월,14.95,-0.45,2011,6
2011년 07월,19.45,-0.08,2011,7
2011년 08월,23.05,0.53,2011,8
2011년 09월,21.37,0.2,2011,9
2011년 10월,17.31,-0.13,2011,10
2011년 11월,13.75,0.56,2011,11
2011년 12월,10.05,0.25,2011,12
2012년 01월,7.66,0.11,2012,1
2012년 02월,6.09,-0.3,2012,2
2012년 03월,6.0,-0.49,2012,3
2012년 04월,7.58,-0.36,2012,4
2012년 05월,11.42,0.42,2012,5
2012년 06월,15.87,0.47,2012,6
2012년 07월,20.01,0.47,2012,7
2012년 08월,23.27,0.75,2012,8
2012년 09월,22.32,1.15,2012,9
2012년 10월,18.01,0.57,2012,10
2012년 11월,12.94,-0.25,2012,11
2012년 12월,9.4,-0.39,2012,12
2013년 01월,6.89,-0.65,2013,1
2013년 02월,5.8,-0.6,2013,2
2013년 03월,6.08,-0.41,2013,3
2013년 04월,6.98,-0.97,2013,4
2013년 05월,10.18,-0.82,2013,5
2013년 06월,16.62,1.22,2013,6
2013년 07월,20.27,0.73,2013,7
2013년 08월,23.96,1.44,2013,8
2013년 09월,21.46,0.29,2013,9
2013년 10월,18.07,0.63,2013,10
2013년 11월,13.69,0.49,2013,11
2013년 12월,10.11,0.31,2013,12
2014년 01월,7.3,-0.24,2014,1
2014년 02월,6.55,0.15,2014,2
2014년 03월,6.47,-0.02,2014,3
2014년 04월,8.29,0.34,2014,4
2014년 05월,10.61,-0.39,2014,5
2014년 06월,15.68,0.28,2014,6
2014년 07월,20.55,1.02,2014,7
2014년 08월,22.08,-0.44,2014,8
2014년 09월,21.17,0.0,2014,9
2014년 10월,17.17,-0.27,2014,10
2014년 11월,12.91,-0.28,2014,11
2014년 12월,9.35,-0.45,2014,12
2015년 01월,7.03,-0.52,2015,1
2015년 02월,6.5,0.1,2015,2
2015년 03월,6.24,-0.25,2015,3
2015년 04월,7.62,-0.33,2015,4
2015년 05월,11.21,0.21,2015,5
2015년 06월,15.12,-0.28,2015,6
2015년 07월,18.45,-1.08,2015,7
2015년 08월,22.23,-0.29,2015,8
2015년 09월,20.57,-0.6,2015,9
2015년 10월,16.22,-1.22,2015,10
2015년 11월,13.02,-0.18,2015,11
2015년 12월,9.93,0.13,2015,12
2016년 01월,7.7,0.16,2016,1
2016년 02월,6.52,0.12,2016,2
2016년 03월,6.71,0.22,2016,3
2016년 04월,8.25,0.31,2016,4
2016년 05월,11.44,0.44,2016,5
2016년 06월,15.84,0.44,2016,6
2016년 07월,19.45,-0.08,2016,7
2016년 08월,23.61,1.09,2016,8
2016년 09월,21.27,0.1,2016,9
2016년 10월,17.59,0.14,2016,10
2016년 11월,12.69,-0.51,2016,11
2016년 12월,9.94,0.15,2016,12
2017년 01월,8.11,0.57,2017,1
2017년 02월,6.9,0.5,2017,2
2017년 03월,7.08,0.59,2017,3
2017년 04월,8.61,0.66,2017,4
2017년 05월,11.81,0.81,2017,5
2017년 06월,14.98,-0.42,2017,6
2017년 07월,20.54,1.0,2017,7
2017년 08월,23.42,0.89,2017,8
2017년 09월,21.39,0.22,2017,9
2017년 10월,17.51,0.06,2017,10
2017년 11월,13.45,0.25,2017,11
2017년 12월,9.33,-0.46,2017,12
