"어업별","품종별","행정구역별","판매형태별",2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01 p),2025.02 p),2025.03 p),2025.04 p),2025.05 p),2025.06 p),2025.07 p),2025.08 p),2025.09 p),2025.10 p),2025.11 p),2025.12 p)
"어업별","품종별","행정구역별","판매형태별",생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계
"연근해어업","고등어","강원도","계",7,8,0,0,2,11,11,7,32,72,88,18,1,1,0,0,10,25,2,54,67,77,74,11,4,1,2,1,5,13,5,19,49,8,51,10,2,1,1,0,6,11,627,1633,1904,219,443,346,22,2,5,5,7,5,304,860,1300,274,248,319,165,14,100,11,58,51,20,37,20,64,234,344,18,13,28,144,15,31,22,115,39,131,114,133,55,77,18,12,93,107,1474,2408,150,105,623,3001,1008,4,16,169,49,234,157,338,158,101,664,585,32,4,1,2,30,245,91,247,335,367,121,589,494,15,33,1,53,885,1767,1055,376,213,1132,1150
"연근해어업","고등어","강원도","계통",7,8,0,0,2,10,11,7,32,72,88,18,1,1,0,0,10,25,2,54,67,77,73,11,4,1,2,1,5,13,5,19,48,8,51,10,2,1,0,0,5,10,277,1204,1649,193,304,312,19,1,5,5,6,3,75,523,896,170,193,312,162,14,99,10,54,47,19,31,19,57,230,336,16,13,28,143,10,29,17,114,39,129,111,128,53,77,12,12,66,77,344,152,147,103,393,1194,815,4,16,166,45,226,154,335,154,93,657,584,32,4,0,2,29,221,88,152,332,364,117,561,492,15,33,0,45,819,1715,1008,352,158,1099,1104
"연근해어업","고등어","강원도","비계통",-,-,-,0,0,1,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,1,0,-,-,-,0,0,0,0,0,1,0,0,0,0,-,1,-,1,2,350,428,255,26,139,34,3,0,-,0,1,2,229,338,404,104,55,7,2,0,2,2,4,4,2,6,2,8,4,8,3,-,0,0,6,2,5,0,0,2,3,5,2,-,6,0,27,30,1130,2257,3,2,230,1808,193,0,0,2,4,8,3,3,4,8,7,1,1,0,0,0,1,24,2,95,3,3,4,28,2,0,0,0,7,66,52,47,24,55,34,46
"연근해어업","고등어","경상북도","계",5,50,2,9,96,46,10,176,54,16,76,20,7,21,8,9,32,29,18,387,61,30,47,24,78,13,32,11,32,23,22,382,303,43,21,107,24,4,8,1,22,49,1025,2331,4160,337,199,120,2,0,0,8,55,12,78,1082,757,57,61,235,102,8,26,2,20,28,7,4,16,124,67,138,2,0,2,5,2,5,21,178,40,85,13,70,36,33,148,52,143,284,1655,635,785,379,189,474,1089,43,36,130,70,1242,304,399,89,297,304,535,428,40,61,6,329,2215,2731,394,427,623,1164,636,719,45,617,88,304,1855,2380,1125,2324,675,4832,3595
"연근해어업","고등어","경상북도","계통",4,50,2,9,92,45,10,176,54,16,75,20,6,21,8,9,31,22,10,382,56,26,47,23,77,13,32,11,29,21,18,360,179,34,17,101,24,4,8,1,22,49,735,1707,3776,199,169,111,2,0,0,6,27,8,53,1039,749,55,60,232,97,8,26,2,19,27,7,3,16,118,58,115,1,0,1,5,2,5,16,174,21,81,9,63,34,33,147,49,131,85,1399,498,597,165,168,463,1087,42,35,126,44,1183,290,361,75,262,289,517,419,40,60,5,318,2135,2690,347,304,539,1030,587,697,37,605,44,287,1575,2150,1086,2190,589,4744,3580
"연근해어업","고등어","경상북도","비계통",1,1,0,0,3,1,0,0,0,0,1,0,0,-,-,0,2,6,8,4,4,5,1,1,1,0,0,0,3,1,4,22,124,9,4,7,0,0,1,0,0,0,290,624,384,138,30,8,0,0,-,1,28,3,26,43,8,2,1,3,5,0,0,0,1,0,0,0,0,6,9,23,1,0,0,0,0,0,5,4,19,4,4,7,1,1,2,2,12,199,256,136,187,213,21,11,2,1,1,3,26,60,14,38,14,36,14,17,9,0,1,1,10,79,41,47,124,84,134,49,22,8,13,44,17,280,230,39,134,85,88,15
"연근해어업","고등어","경상남도","계",1405,361,981,318,3,268,415,1149,673,291,988,202,493,39,145,470,45,27,452,888,1329,1694,1407,489,483,23,70,2,12,36,1276,1565,2503,823,2656,3368,639,577,1172,450,24,135,942,1112,2102,1004,727,896,455,41,55,82,53,59,231,224,901,943,530,3101,1061,1051,250,25,81,267,746,201,177,293,239,515,151,219,954,102,64,336,516,849,1410,1915,1579,2518,728,211,257,85,76,168,843,958,1405,1523,1352,820,367,278,433,463,328,786,1408,633,1469,882,832,115,385,334,302,382,268,1625,2264,1446,2761,986,2023,440,1744,684,1086,280,1019,1896,2701,1460,2777,1051,2306,2083
"연근해어업","고등어","경상남도","계통",1405,361,981,318,2,268,414,1149,669,288,986,201,493,39,145,470,45,27,452,886,1327,1692,1404,487,482,23,70,2,12,36,1275,1553,2397,820,2649,3366,635,576,1172,450,23,133,890,1075,2091,997,724,890,453,40,55,81,26,55,104,202,843,920,516,3093,1059,1051,249,24,70,256,739,195,170,288,226,514,151,219,954,102,62,330,497,828,1252,1848,1551,2513,726,210,256,84,74,166,782,913,1365,1462,1324,813,366,277,396,391,323,785,1333,606,1377,873,826,112,372,314,298,362,266,1610,2081,1237,2581,908,1993,147,1743,671,1070,233,1016,1867,2075,1402,2722,1001,2295,2080
